Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs,MSRP
GeForce GT 520,GF119S,"Apr 13th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",810 MHz,900 MHz,48 / 8 / 4,59
GeForce GT 530 OEM,GF108,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,96 / 16 / 4,
GeForce GT 545 OEM,GF116,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",871 MHz,1000 MHz,144 / 24 / 16,
GeForce GT 545,GF116,"May 14th, 2011",PCIe 2.0 x16,"1536 MB, DDR3, 192 bit",720 MHz,800 MHz,144 / 24 / 16,149
GeForce GTX 550 Ti,GF116,"Mar 15th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",900 MHz,1026 MHz,192 / 32 / 24,149
GeForce GTX 555 OEM,GF114,"May 14th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",736 MHz,957 MHz,288 / 48 / 24,
GeForce GTX 560,GF114,"May 17th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",810 MHz,1000 MHz,336 / 56 / 32,199
GeForce GTX 560 OEM,GF110,"Nov 29th, 2011",PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",552 MHz,802 MHz,384 / 48 / 40,
GeForce GTX 560 Ti OEM,GF110,"Mar 30th, 2011",PCIe 2.0 x16,"1280 MB, GDDR5, 256 bit",732 MHz,950 MHz,352 / 44 / 40,
GeForce GTX 560 Ti,GF114,"Jan 25th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",823 MHz,1002 MHz,384 / 64 / 32,249
GeForce GTX 560 Ti OEM,GF114,"Mar 8th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",823 MHz,1002 MHz,384 / 64 / 32,
GeForce GTX 560 Ti 448,GF110,"Nov 29th, 2011",PCIe 2.0 x16,"1280 MB, GDDR5, 320 bit",732 MHz,950 MHz,448 / 56 / 40,289
GeForce GTX 560 Ti X2,GF114,"Jan 25th, 2011",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1002 MHz,384 / 64 / 32,
GeForce GTX 580 Rev. 2,GF110,"Jun 6th, 2011",PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",772 MHz,1002 MHz,512 / 64 / 48,499
GeForce GTX 590,GF110,"Mar 24th, 2011",PCIe 2.0 x16,"1536 MB, GDDR5, 384 bit",608 MHz,854 MHz,512 / 64 / 48,699
Playstation Vita GPU,SGX543 MP4+,"Dec 11th, 2011",IGP,"128 MB, CDRAM, 64 bit",200 MHz,400 MHz,4 / 2 / 8 / 4,
Radeon HD 6850 1440SP Edition,Cypress,"Aug 21st, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",725 MHz,1000 MHz,1440 / 72 / 32,
Radeon HD 7350 OEM PCI,Cedar,"Jan 5th, 2012",PCI,"512 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,
Radeon HD 7350 OEM,Cedar,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,800 MHz,80 / 8 / 4,
Radeon HD 7450 OEM,Caicos,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",625 MHz,533 MHz,160 / 8 / 4,
Radeon HD 7470 OEM,Caicos,"Jan 5th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",750 MHz,900 MHz,160 / 8 / 4,
Radeon HD 7570,Turks,"Jan 5th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,
Radeon HD 7670 OEM,Turks,"Jan 5th, 2012",PCIe 2.0 x16,"512 MB, GDDR5, 128 bit",800 MHz,1000 MHz,480 / 24 / 8,
Radeon HD 7750,Cape Verde,"Feb 15th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,109
Radeon HD 7770 GHz Edition,Cape Verde,"Feb 15th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1000 MHz,1125 MHz,640 / 40 / 16,159
Radeon HD 7850,Pitcairn,"Mar 5th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",860 MHz,1200 MHz,1024 / 64 / 32,249
Radeon HD 7870 GHz Edition,Pitcairn,"Mar 5th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1200 MHz,1280 / 80 / 32,349
Radeon HD 7870 XT,Tahiti,"Nov 19th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1500 MHz,1536 / 96 / 32,270
Radeon HD 7950 Monica BIOS 1,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1250 MHz,1536 / 96 / 32,
Radeon HD 7950 Monica BIOS 2,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,768 / 48 / 32,
Radeon HD 7950,Tahiti,"Jan 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792 / 112 / 32,449
Radeon HD 7950 Boost,Tahiti,"Jun 22nd, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1250 MHz,1792 / 112 / 32,449
Radeon HD 7970 GHz Edition,Tahiti,"Jun 22nd, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1000 MHz,1500 MHz,2048 / 128 / 32,499
Radeon HD 7970 X2,New Zealand,"Aug 31st, 2012",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048 / 128 / 32,899
Wii U GPU,Latte,"Nov 18th, 2012",IGP,"2 GB, DDR3, 64 bit",550 MHz,800 MHz,160 / 16 / 8,
Radeon HD 5470,Cedar,"Feb 13th, 2012",PCIe 2.0 x16,"512 MB, GDDR3, 64 bit",650 MHz,400 MHz,80 / 8 / 4,
Radeon HD 5490,Cedar,"Oct 28th, 2012",PCIe 2.0 x16,"1024 MB, GDDR3, 64 bit",650 MHz,500 MHz,80 / 8 / 4,
GeForce 9400 GT Rev. 3,GT218S,"Jun 13th, 2012",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",589 MHz,600 MHz,16 / 8 / 4,
GeForce GTS 450 Rev. 3,GF116,"Jul 11th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",783 MHz,700 MHz,144 / 24 / 16,
GeForce GT 520 OEM,GF108,"Feb 1st, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",700 MHz,667 MHz,48 / 8 / 2,
GeForce GT 520 OEM,GF119S,"Aug 20th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",589 MHz,500 MHz,48 / 8 / 4,
GeForce GTX 560 SE,GF114,"Feb 20th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",736 MHz,957 MHz,288 / 48 / 24,
GeForce 605 OEM,GF119S,"Apr 2nd, 2012",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",523 MHz,897 MHz,48 / 8 / 4,
GeForce 615 OEM,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",660 MHz,900 MHz,48 / 8 / 4,
GeForce GT 610 PCI,GF119S,"Apr 2nd, 2012",PCI,"512 MB, DDR3, 64 bit",810 MHz,667 MHz,48 / 8 / 4,
GeForce GT 610 PCIe x1,GF119S,"Apr 2nd, 2012",PCIe 2.0 x1,"512 MB, DDR3, 64 bit",810 MHz,500 MHz,48 / 8 / 4,
GeForce GT 610 OEM,GF119S,"Sep 9th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",550 MHz,500 MHz,48 / 8 / 4,
GeForce GT 610,GF119S,"Apr 2nd, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",810 MHz,898 MHz,48 / 8 / 4,
GeForce GT 620 OEM,GF119S,"Apr 2nd, 2012",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",810 MHz,898 MHz,48 / 8 / 4,
GeForce GT 620,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",700 MHz,900 MHz,96 / 16 / 4,
GeForce GT 630 OEM,GK107,"Apr 24th, 2012",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",875 MHz,891 MHz,192 / 16 / 16,
GeForce GT 630,GF108,"May 15th, 2012",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",810 MHz,900 MHz,96 / 16 / 4,
GeForce GT 640 OEM Rebrand,GF116,"Apr 24th, 2012",PCIe 2.0 x16,"1536 MB, DDR3, 192 bit",720 MHz,800 MHz,144 / 24 / 24,
GeForce GT 640 OEM,GK107,"Apr 24th, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",797 MHz,891 MHz,384 / 32 / 16,
GeForce GT 640,GK107,"Jun 5th, 2012",PCIe 3.0 x16,"2 GB, DDR3, 128 bit",902 MHz,891 MHz,384 / 32 / 16,99
GeForce GT 645 OEM,GF114,"Apr 24th, 2012",PCIe 2.0 x16,"1024 MB, GDDR5, 192 bit",776 MHz,957 MHz,288 / 48 / 24,
GeForce GTX 650,GK107,"Sep 6th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1058 MHz,1250 MHz,384 / 32 / 16,109
GeForce GTX 650 Ti,GK106S,"Oct 9th, 2012",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",928 MHz,1350 MHz,768 / 64 / 16,149
GeForce GTX 660,GK106,"Sep 6th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",980 MHz,1502 MHz,960 / 80 / 24,229
GeForce GTX 660 OEM,GK104,"Aug 22nd, 2012",PCIe 3.0 x16,"1536 MB, GDDR5, 192 bit",823 MHz,1400 MHz,1152 / 96 / 24,
GeForce GTX 660 OEM,GK104,"Aug 22nd, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",823 MHz,1400 MHz,1152 / 96 / 32,
GeForce GTX 660 Ti,GK104,"Aug 16th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",915 MHz,1502 MHz,1344 / 112 / 24,299
GeForce GTX 670,GK104,"May 10th, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32,399
GeForce GTX 680,GK104,"Mar 22nd, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1006 MHz,1502 MHz,1536 / 128 / 32,499
GeForce GTX 690,GK104,"May 3rd, 2012",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1536 / 128 / 32,999
Playstation 3 GPU 40nm,RSX-40nm,"Oct 4th, 2012",IGP,"256 MB, GDDR3, 128 bit",550 MHz,650 MHz,24 / 8 / 24 / 8,
Radeon HD 6610,Redwood,"Mar 20th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,
Radeon HD 6770 Green Edition,Juniper,"Apr 19th, 2013",PCIe 2.0 x16,"2 GB, GDDR3, 128 bit",700 MHz,667 MHz,720 / 36 / 16,
Radeon HD 6870 1600SP Edition,Cypress,"Jan 14th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",850 MHz,1050 MHz,1600 / 80 / 32,
Radeon HD 7510 OEM,Turks,"Feb 1st, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,667 MHz,320 / 16 / 4,
Radeon HD 7570 OEM,Redwood,"Mar 20th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,400 / 20 / 8,
Radeon HD 7720 OEM,Barts,"Mar 15th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 256 bit",840 MHz,1050 MHz,800 / 40 / 32,
Radeon HD 7730,Cape Verde,"May 1st, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,384 / 24 / 8,59
Radeon HD 7790,Bonaire,"Mar 22nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1000 MHz,1500 MHz,896 / 56 / 16,149
Radeon HD 7950 Mac Edition,Tahiti,"Mar 7th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",800 MHz,1250 MHz,1792 / 112 / 32,449
Radeon HD 7990,Malta,"Apr 24th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,999
Radeon HD 8350 OEM,Cedar,"Jan 8th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",650 MHz,667 MHz,80 / 8 / 4,
Radeon HD 8450 OEM,Caicos,"Jan 8th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4,
Radeon HD 8470 OEM,Caicos,"Jan 8th, 2013",PCIe 2.0 x16,"1024 MB, GDDR5, 64 bit",775 MHz,800 MHz,160 / 8 / 4,
Radeon HD 8490 OEM,Caicos,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,
Radeon HD 8510 OEM,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,
Radeon HD 8510 OEM,Redwood,"Apr 24th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,500 MHz,400 / 20 / 8,
Radeon HD 8550 OEM,Turks,"Oct 25th, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,
Radeon HD 8570 OEM Rebrand,Turks,"Jul 23rd, 2013",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",650 MHz,800 MHz,480 / 24 / 8,
Radeon HD 8570 OEM,Oland,"Jan 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR3, 128 bit",730 MHz,900 MHz,384 / 24 / 8,
Radeon HD 8670 OEM,Oland,"Jan 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8,
Radeon HD 8730 OEM,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,384 / 24 / 8,
Radeon HD 8740 OEM,Cape Verde,"Sep 5th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,
Radeon HD 8760 OEM,Cape Verde,"Jan 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1125 MHz,640 / 40 / 16,
Radeon HD 8770 OEM,Bonaire,"Sep 2nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1050 MHz,1500 MHz,896 / 56 / 16,
Radeon HD 8860 OEM,Curacao,"Jan 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",925 MHz,1400 MHz,1280 / 80 / 32,
Radeon HD 8870 OEM,Pitcairn,"Jan 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1200 MHz,1280 / 80 / 32,
Radeon HD 8950 OEM,Tahiti,"Jan 8th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1250 MHz,1792 / 112 / 32,
Radeon HD 8970 OEM,Tahiti,"Jan 8th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",925 MHz,1375 MHz,2048 / 128 / 32,
Radeon HD 8990 OEM,Malta,"Apr 24th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,
Radeon R5 220 OEM,Cedar,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",650 MHz,533 MHz,80 / 8 / 4,
Radeon R5 230 OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4,
Radeon R5 235 OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",775 MHz,900 MHz,160 / 8 / 4,
Radeon R5 235X OEM,Caicos,"Dec 21st, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",875 MHz,900 MHz,160 / 8 / 4,
Radeon R5 240 OEM,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8,
Radeon R7 240 OEM,Oland,"Nov 1st, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8,
Radeon R7 240,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",730 MHz,900 MHz,320 / 20 / 8,69
Radeon R7 240,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",650 MHz,1150 MHz,320 / 20 / 8,69
Radeon R7 250 OEM,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"2 GB, DDR3, 128 bit",1000 MHz,1000 MHz,384 / 24 / 8,
Radeon R7 250E,Cape Verde,"Dec 20th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",800 MHz,1125 MHz,512 / 32 / 16,109
Radeon R7 250,Oland,"Oct 8th, 2013",PCIe 3.0 x8,"1024 MB, GDDR5, 128 bit",1000 MHz,1150 MHz,384 / 24 / 8,89
Radeon R7 250,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,512 / 32 / 16,
Radeon R7 250,Cape Verde,"Oct 8th, 2013",PCIe 3.0 x16,"1024 MB, DDR3, 128 bit",925 MHz,900 MHz,512 / 32 / 16,
Radeon R7 260,Bonaire,"Dec 17th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1000 MHz,1500 MHz,768 / 48 / 16,109
Radeon R7 260X,Bonaire,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16,139
Radeon R9 255 OEM,Cape Verde,"Dec 21st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",900 MHz,1150 MHz,512 / 32 / 16,
Radeon R9 260 OEM,Bonaire,"Dec 21st, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1100 MHz,1625 MHz,896 / 56 / 16,
Radeon R9 270,Curacao,"Nov 13th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32,179
Radeon R9 270X,Curacao,"Oct 8th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1000 MHz,1400 MHz,1280 / 80 / 32,199
Radeon R9 280X,Tahiti,"Oct 8th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",850 MHz,1500 MHz,2048 / 128 / 32,299
Radeon R9 290,Hawaii,"Nov 5th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",947 MHz,1250 MHz,2560 / 160 / 64,399
Radeon R9 290X,Hawaii,"Oct 24th, 2013",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1250 MHz,2816 / 176 / 64,549
Radeon R9 280X2,Tahiti,Unknown,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",950 MHz,1500 MHz,2048 / 128 / 32,
Xbox One GPU,Durango,"Nov 22nd, 2013",IGP,"8 GB, DDR3, 256 bit",853 MHz,1066 MHz,768 / 48 / 16,
Playstation 4 GPU,Liverpool,"Nov 24th, 2013",IGP,"8 GB, GDDR5, 256 bit",800 MHz,1375 MHz,1152 / 72 / 32,
Xbox 360 E GPU,Xenos Corona,"Jun 10th, 2013",IGP,"512 MB, GDDR3, 128 bit",500 MHz,700 MHz,240 / 16 / 8,
GeForce 505 OEM,GT218S,"Jan 6th, 2013",PCIe 1.0 x16,"512 MB, DDR3, 64 bit",589 MHz,600 MHz,16 / 8 / 4,
GeForce 505 OEM,GT216,"Feb 17th, 2013",PCIe 1.0 x16,"1024 MB, DDR3, 128 bit",615 MHz,700 MHz,24 / 12 / 8,
GeForce GT 625 OEM,GF119S,"Feb 18th, 2013",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",874 MHz,825 MHz,48 / 8 / 4,
GeForce GT 630 Rev. 2 PCIe x8,GK208,"May 29th, 2013",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",902 MHz,900 MHz,384 / 32 / 8,
GeForce GT 630 Rev. 2,GK208,"May 29th, 2013",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",902 MHz,900 MHz,384 / 32 / 8,
GeForce GT 635 OEM,GK208,"Oct 1st, 2013",PCIe 3.0 x8,"1024 MB, DDR3, 64 bit",967 MHz,900 MHz,384 / 32 / 8,
GeForce GT 640 Rev. 2,GK208,"May 29th, 2013",PCIe 2.0 x8,"1024 MB, GDDR5, 64 bit",1046 MHz,1252 MHz,384 / 32 / 8,89
GeForce GTX 645 OEM,GK106S,"Apr 22nd, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",824 MHz,1000 MHz,576 / 48 / 16,
GeForce GTX 650,GK106,"Nov 27th, 2013",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",1058 MHz,1250 MHz,384 / 32 / 16,
GeForce GTX 650 Ti OEM,GK106,"Mar 31st, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",928 MHz,1350 MHz,768 / 64 / 16,
GeForce GTX 650 Ti Boost,GK106,"Mar 26th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",980 MHz,1502 MHz,768 / 64 / 24,169
GeForce GTX 680 Mac Edition,GK104,"Apr 3rd, 2013",PCIe 2.0 x16,"2 GB, GDDR5, 256 bit",1006 MHz,1502 MHz,1536 / 128 / 32,599
GeForce GTX 760 OEM,GK104,"Jun 27th, 2013",PCIe 3.0 x16,"1536 MB, GDDR5, 192 bit",823 MHz,1400 MHz,1152 / 96 / 24,
GeForce GTX 760 OEM Rebrand,GK104,"Aug 25th, 2013",PCIe 3.0 x16,"1536 MB, GDDR5, 256 bit",823 MHz,1400 MHz,1152 / 96 / 32,
GeForce GTX 760,GK104,"Jun 25th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",980 MHz,1502 MHz,1152 / 96 / 32,249
GeForce GTX 760 Ti OEM,GK104,"Sep 27th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32,
GeForce GTX 760 Ti OEM Rebrand,GK104,"Aug 25th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",915 MHz,1502 MHz,1344 / 112 / 32,
GeForce GTX 760 X2,GK104,"Nov 19th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1006 MHz,1502 MHz,1152 / 96 / 32,
GeForce GTX 770,GK104,"May 30th, 2013",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",1046 MHz,1753 MHz,1536 / 128 / 32,399
GeForce GTX 780,GK110,"May 23rd, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",863 MHz,1502 MHz,2304 / 192 / 48,649
GeForce GTX 780 Rev. 2,GK110B,"Sep 10th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",863 MHz,1502 MHz,2304 / 192 / 48,649
GeForce GTX 780 6 GB,GK110B,"Sep 10th, 2013",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",863 MHz,1502 MHz,2304 / 192 / 48,
GeForce GTX 780 Ti,GK110B,"Nov 7th, 2013",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",875 MHz,1753 MHz,2880 / 240 / 48,699
GeForce GTX 780 Ti Engineering Sample,GK180,Never Released,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",875 MHz,1753 MHz,2880 / 240 / 48,
GeForce GTX 780 Ti 6 GB,GK110B,Never Released,PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",875 MHz,1753 MHz,2880 / 240 / 48,
GeForce GTX TITAN,GK110,"Feb 19th, 2013",PCIe 3.0 x16,"6 GB, GDDR5, 384 bit",836 MHz,1502 MHz,2688 / 224 / 48,999
Playstation 3 GPU 28nm,RSX-28nm,"Jun 3rd, 2013",IGP,"256 MB, GDDR3, 128 bit",550 MHz,650 MHz,24 / 8 / 24 / 8,
Radeon R5 230,Caicos,"Apr 3rd, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",625 MHz,667 MHz,160 / 8 / 4,
Radeon R7 250XE,Cape Verde,"Aug 21st, 2014",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",860 MHz,1125 MHz,640 / 40 / 16,
Radeon R7 250X,Cape Verde,"Feb 13th, 2014",PCIe 3.0 x16,"1024 MB, GDDR5, 128 bit",950 MHz,1125 MHz,640 / 40 / 16,99
Radeon R7 265,Pitcairn,"Feb 13th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1024 / 64 / 32,149
Radeon R7 265X OEM,Curacao,"Aug 12th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",900 MHz,1400 MHz,1280 / 80 / 32,
Radeon R9 280,Tahiti,"Mar 4th, 2014",PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",827 MHz,1250 MHz,1792 / 112 / 32,279
Radeon R9 285,Tonga,"Sep 2nd, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 256 bit",918 MHz,1375 MHz,1792 / 112 / 32,249
Radeon R9 285X,Tonga,Never Released,PCIe 3.0 x16,"3 GB, GDDR5, 384 bit",1002 MHz,1375 MHz,2048 / 128 / 32,
Radeon R9 290X2,Hawaii,"Jun 24th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1000 MHz,1350 MHz,2816 / 176 / 64,1399
Radeon R9 295X2,Vesuvius,"Apr 29th, 2014",PCIe 3.0 x16,"4 GB, GDDR5, 512 bit",1018 MHz,1250 MHz,2816 / 176 / 64,1499
GeForce GTX 660 Rev. 2,GK104,"Sep 13th, 2014",PCIe 3.0 x16,"2 GB, GDDR5, 192 bit",980 MHz,1502 MHz,960 / 80 / 24,
GeForce GT 705 OEM,GF119S,"Mar 27th, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",874 MHz,825 MHz,48 / 8 / 4,
GeForce GT 710 PCIe x1,GK208B,"Mar 27th, 2014",PCIe 2.0 x1,"1024 MB, DDR3, 64 bit",954 MHz,800 MHz,192 / 16 / 8,
GeForce GT 710,GK208,"Mar 27th, 2014",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",954 MHz,900 MHz,192 / 16 / 8,
GeForce GT 710,GK208B,"Mar 27th, 2014",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",954 MHz,900 MHz,192 / 16 / 8,
GeForce GT 720,GK208B,"Sep 29th, 2014",PCIe 2.0 x8,"1024 MB, DDR3, 64 bit",797 MHz,800 MHz,192 / 16 / 8,49
GeForce GT 720,GK208,"Mar 27th, 2014",PCIe 2.0 x8,"2 GB, DDR3, 64 bit",967 MHz,900 MHz,384 / 32 / 8,49
GeForce GT 730,GF108,"Jun 18th, 2014",PCIe 2.0 x16,"1024 MB, DDR3, 128 bit",700 MHz,900 MHz,96 / 16 / 4,
